# Rookies are excluded per ADR-0006: this model only projects Veterans (players with at least one prior season and >=16 career games before the target season). See docs/adr/0006-rookies-excluded-from-v1.md.
position,target_season,player_id,player_name,games,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,completions_p10,completions_p50,completions_p90,attempts_p10,attempts_p50,attempts_p90,passing_yards_p10,passing_yards_p50,passing_yards_p90,passing_tds_p10,passing_tds_p50,passing_tds_p90,interceptions_p10,interceptions_p50,interceptions_p90,adp,model_rank,adp_rank,rank_diff,large_disagreement
RB,2026,00-0039363,Isaac Guerendo,22,0.0,0.00015936839332552483,3.5033628562696086,0.0,0.000557789376639337,11.415982604400812,0.0,0.0,2.656139888758746e-05,0.0,2.656139888758746e-05,1.000120760546531,0.0,2.656139888758746e-05,1.0001132956542258,0.0,0.00015936839332552483,3.754878858260782,0.0,0.0,0.0,7.3447121820615795,0.0,9.827717588407364e-05,2.5173588103137106,0.0,0.0007218175709343642,18.489275920731156,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039384,Tyrone Tracy Jr.,30,3.8377194334894273,10.376825446011347,19.335460449821838,7.654738181386663,40.09729493494452,96.0717616532485,0.0,0.0,1.0,0.0,2.5740518624937794,5.086800564729314,0.0,1.7734941666239352,4.190677939459617,0.0,11.519618908548521,39.4378480910126,0.0,0.0,0.0,7.3447121820615795,0.7654738181386663,6.93518555097324,23.74163891388573,5.622184877132253,50.936941801090605,174.37550455292376,,,,,,,,,,,,,,,,154.7,28.0,38.0,-10.0,False
RB,2026,00-0039407,Dylan Laube,21,0.0,0.00015936839332552483,3.9394829857149882,0.0,0.000557789376639337,10.601646385144155,0.0,0.0,2.656139888758746e-05,-0.00021725252840798702,0.0,1.6635793587602787,0.0,2.656139888758746e-05,1.2359640483700853,0.0,0.00015936839332552483,12.370763832571182,0.0,0.0,0.0,7.3447121820615795,0.0,9.827717588407364e-05,3.5333644385349445,0.0,0.0007218175709343642,25.95154483537078,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039738,Blake Corum,30,2.2930898118002547,8.121123066433977,17.574576088040022,4.832882045053288,32.55356227448981,87.36686988117935,0.0,0.0,1.0,0.0,1.2633449704548252,3.027313524745555,0.0,0.9270970487334569,2.294425377203942,0.0,1.2532747726941855,24.20368849534675,0.0,0.0,0.0,7.3447121820615795,0.48328820450532883,4.307780753451857,19.451481214856557,3.5496127630769565,31.63940977752826,142.86553103789893,,,,,,,,,,,,,,,,120.1,36.0,32.0,4.0,False
RB,2026,00-0039746,Will Shipley,25,0.0,1.129075056085164,7.063470666294298,0.0,1.9909573970607355,29.91061879967128,0.0,0.0,2.656139888758746e-05,0.0,0.0913506251833932,2.380481283562434,0.0,2.656139888758746e-05,1.915030487641439,-0.00014277201803889202,0.0,17.47665902774045,0.0,0.0,0.0,7.3447121820615795,-1.4277201803889203e-05,0.19912230110496115,6.653917638775938,-0.00010486193801477658,1.462495990645742,48.87110993995205,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039794,Braelon Allen,20,0.056943912654675806,3.514061494332341,12.6413001174078,0.1678416495689516,11.748335327062946,46.39235737579341,0.0,0.0,1.0,0.0,1.055046327730763,2.6611888569362603,0.0,0.7560970487334568,2.1425118927559628,0.0,1.9967078440539263,19.956243576418736,0.0,0.0,0.0,7.077471059661621,0.01678416495689516,2.130601365845144,14.777371987977176,0.11878944174301223,15.079269506444527,104.58642258276278,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039796,Rasheen Ali,18,0.0,0.9776309688483864,2.2147321806943863,0.0,1.4608604601898212,12.315386437560544,0.0,0.0,2.656139888758746e-05,0.0,0.11162338232963892,2.4987893500049236,0.0,2.656139888758746e-05,1.9143354158626136,-0.03239845492585169,0.0,17.54926580152191,0.0,0.0,0.0,7.3447121820615795,-0.0032398454925851687,0.14611260741786972,4.900960008164184,-0.02379573265738759,1.0731550476548088,35.9961406757601,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039798,Isaiah Davis,28,0.0,2.8696498540350786,8.867025861320487,0.0,8.845074720412693,48.158223495618046,0.0,0.0,2.656139888758746e-05,0.0,1.5453990615317943,4.192695750201851,0.0,1.0,3.3594611499897526,0.0,6.9880268174379045,38.371821315398634,0.0,0.0,0.0,7.3447121820615795,0.0,2.58331015378506,12.012624999484746,0.0,18.9736695565485,88.22927317225309,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039875,Ray Davis,32,0.0,1.7622685079748066,7.754113288979002,0.0,5.486791963851798,34.5371463407547,0.0,0.0,2.656139888758746e-05,0.0,1.0008299386331883,2.8805400631646734,0.0,0.0008491293465489019,2.3679491008668605,0.0,1.4915100724388446,23.376477413097142,0.0,0.0,0.0,7.3447121820615795,0.0,0.6986793329756131,8.159470844645371,0.0,5.131598608260645,59.928964911843146,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039921,Trey Benson,16,1.072654607399718,5.544147301215133,14.208744668951526,1.9637489470864522,24.537801249658298,51.26878001977981,0.0,0.0,0.857059154363996,0.0,2.8656458297480327,6.5048620869263996,0.0,1.9777801108697577,5.380759617569195,0.0,12.099881075817178,44.985520015177485,0.0,0.0,0.0,7.3447121820615795,0.19637489470864522,5.6415483434173055,20.148544547248903,1.4423170814176465,41.43554884358641,147.98526058698943,,,,,,,,,,,,,,,,,,,,False
